date,ETSAAN_mean,ETSAAN_lower,ETSAAN_upper,ARIMA_mean,ARIMA_lower,ARIMA_upper,SARIMA-ARweekly_mean,SARIMA-ARweekly_lower,SARIMA-ARweekly_upper,GP-RBF_mean,GP-RBF_lower,GP-RBF_upper,GP-Periodic_mean,GP-Periodic_lower,GP-Periodic_upper,GP-Matern32_mean,GP-Matern32_lower,GP-Matern32_upper
2026-06-23,2563.2533795916966,1024.715561931376,6409.544637117785,2309.4239095201956,61.608950203752734,85259.31221271979,2370.50873659906,59.4954748521181,92965.5185952128,2057.4562935665153,961.443798104849,4401.586749342831,564.6750900979191,312.2262998514126,1020.5882501216663,1996.4432824138376,891.8764675199586,4467.456512850117
2026-06-24,2578.0923401202285,1030.6512283745355,6446.641524497818,2312.404233194809,56.586322345100015,92934.94256794987,2374.330350296318,54.58115841486525,101511.71463118358,2055.0249215619224,949.1714897776687,4447.921614216022,557.8578410366197,308.4412780399858,1008.3097096365844,1986.360977254144,876.5120101185886,4499.911222148161
2026-06-25,2593.017171550336,1036.6212436541884,6483.953086157693,2315.648320427233,52.07377852463415,101119.73399950781,2378.911372804277,50.181460372783256,110663.64499350371,2052.342688005612,936.5357954783484,4496.125565466987,548.2240950256241,303.1063978589924,990.9130563526753,1976.1026323453823,861.1647291311639,4532.860742327306
2026-06-26,2608.028370804405,1042.6258065420425,6521.48056438615,2319.8178863602557,48.02171892517076,109872.65967055238,2383.8303876256327,46.22219649842242,120438.46278383366,2049.392927022868,923.5559136030771,4546.168098034881,558.0976741792875,308.57341690930576,1008.7449981122469,1965.6800178256356,845.8617726737826,4566.25101701403
2026-06-27,2623.1264376804447,1048.6651169600718,6559.225208660912,2324.7837319257774,44.37032366666645,119223.84854708637,2389.190865610406,42.651357413958635,130877.22951000705,2046.1594035928117,910.2524988210557,4598.012490106152,581.9604166721894,321.78694711907013,1051.8394981264555,1955.1045662778922,830.6280945927018,4600.029112763695
2026-06-28,2638.3118748687243,1054.739375987169,6597.188275690232,2330.0239896928397,41.06187512752588,129181.84845954613,2394.3031265447453,39.41083815345775,141977.67033213476,2042.6263846237264,896.6474740089297,4651.615777191722,572.3342737194752,316.46735233482184,1034.4204519107736,1944.387373603109,815.4865145435818,4634.143344026899
2026-06-29,2653.5851879685006,1060.8487858658393,6635.371029454754,2335.0376410604413,38.04866609503063,139749.53199437476,2398.931397585826,36.45970542499766,153755.43368713462,2038.7787089723697,882.7638390080426,4706.928745135185,556.0792322911939,307.467060619703,1005.0629177931861,1933.5392005123588,800.4577915894388,4668.543371581734
2026-06-30,2668.946885504866,1066.9935500089373,6673.774741249589,2339.619843729591,35.29537966207751,150941.1117472104,2403.6175597953866,33.77439020480024,166276.12448220426,2034.6018560049638,868.6254790675471,4763.895941887413,564.6750900980277,312.2262998514727,1020.5882501218622,1922.57047459033,785.5607081029983,4703.180278264227
2026-07-01,2684.3974789456743,1073.173873006439,6712.4006897266645,2343.8946789054717,32.77653765121816,162790.43563907867,2408.486981228042,31.327563391613253,179586.53780415072,2030.082012289692,854.2569755471116,4822.455708160436,557.8578410366971,308.4412780400287,1008.3097096367243,1911.4912928848594,770.8121611711704,4738.0066254076855
2026-07-02,2699.937482718562,1079.3899606322495,6751.250160937242,2348.125978992832,30.471470985895508,175344.88286808084,2413.4763446212332,29.092828749092842,193722.7628054908,2025.2061360071154,839.6834211383605,4882.540227347007,548.224095025589,303.10639785897297,990.9130563526119,1900.3114249788714,756.2272590907836,4772.9764929959965
